location,block,quantity
0,gold_ore,62
1,farmland,33
2,nether_brick_fence,9
3,redstone_ore,12
4,wheat,3
5,empty,18
6,ice,44
7,diamond_ore,45
8,snow,54
9,dirt,50
10,daylight_detector,24
11,stone_pressure_plate,64
12,nether_wart,48
13,sticky_piston,4
14,iron_ore,2
15,empty,41
16,red_sandstone,17
17,barrier,54
18,enchanting_table,26
19,iron_trapdoor,15
20,obsidian,3
21,hopper,21
22,packed_ice,45
23,gold_ore,52
24,ladder,60
25,red_mushroom_block,31
26,crafting_table,44
27,diamond_block,43
28,iron_ore,10
29,gold_ore,24
30,obsidian,51
31,tripwire_hook,30
32,detector_rail,24
33,cake,59
34,heavy_weighted_pressure_plate,22
35,ladder,44
