location,block,quantity
0,iron_block,35
1,glass,10
2,beacon,29
3,empty,39
4,detector_rail,37
5,red_mushroom,21
6,empty,50
7,mossy_cobblestone,25
8,acacia_door,23
9,daylight_detector,41
10,ender_chest,41
11,wheat,59
12,iron_block,8
13,sandstone,7
14,beacon,18
15,nether_brick_fence,20
16,tnt,21
17,daylight_detector,50
18,stone,26
19,dirt,12
20,furnace,19
21,barrier,59
22,nether_wart,27
23,red_sandstone,38
24,stone_button,21
25,gravel,32
26,empty,47
27,cauldron,29
28,brewing_stand,27
29,coal_ore,61
30,gold_ore,36
31,redstone_lamp,46
32,sand,53
33,iron_ore,40
34,quartz_block,5
35,mycelium,40
