location,block,quantity
0,birch_door,38
1,prismarine,60
2,empty,51
3,stone,39
4,coal_block,1
5,empty,22
6,empty,38
7,acacia_door,13
8,empty,14
9,red_mushroom_block,14
10,cauldron,38
11,sponge,53
12,birch_fence,45
13,bookshelf,48
14,birch_door,17
15,command_block,5
16,bedrock,6
17,grass,51
18,dragon_egg,37
19,ladder,5
20,acacia_door,38
21,bookshelf,31
22,emerald_ore,15
23,glass,31
24,redstone_lamp,20
25,empty,15
26,sea_lantern,22
27,activator_rail,61
28,command_block,21
29,flower_pot,60
30,empty,7
31,birch_door,4
32,cake,12
33,dropper,36
34,flower_pot,38
35,packed_ice,40
