location,block,quantity
0,mossy_cobblestone,51
1,ice,52
2,birch_fence_gate,15
3,grass,63
4,acacia_door,49
5,nether_brick,26
6,cauldron,5
7,cake,4
8,sticky_piston,15
9,hopper,27
10,spruce_door,9
11,sandstone,47
12,mossy_cobblestone,53
13,tnt,3
14,stone,64
15,cake,4
16,nether_wart,36
17,gold_block,61
18,acacia_fence_gate,9
19,brown_mushroom_block,42
20,spruce_door,20
21,heavy_weighted_pressure_plate,48
22,bedrock,44
23,netherrack,51
24,anvil,60
25,lever,23
26,empty,56
27,sponge,62
28,tnt,58
29,sandstone,14
30,tnt,42
31,packed_ice,56
32,birch_fence,48
33,brown_mushroom_block,7
34,emerald_ore,13
35,empty,49
