location,block,quantity
0,hopper,42
1,coal_ore,24
2,cobblestone_wall,15
3,sandstone,48
4,beacon,29
5,dragon_egg,45
6,pumpkin,45
7,empty,48
8,cobblestone,37
9,brown_mushroom,48
10,birch_fence_gate,10
11,crafting_table,3
12,lapis_ore,5
13,empty,28
14,iron_bars,11
15,enchanting_table,16
16,redstone_block,11
17,dark_oak_fence,32
18,dirt,7
19,red_mushroom,32
20,glowstone,63
21,packed_ice,2
22,command_block,14
23,iron_block,8
24,empty,43
25,lever,22
26,tnt,31
27,birch_fence,36
28,acacia_door,55
29,dark_oak_fence_gate,36
30,command_block,44
31,diamond_ore,63
32,beacon,23
33,tripwire_hook,54
34,empty,31
35,netherrack,5
