location,block,quantity
0,nether_brick_fence,30
1,coal_block,64
2,empty,61
3,snow,16
4,glass_pane,31
5,emerald_ore,43
6,quartz_block,42
7,sea_lantern,2
8,trapped_chest,8
9,red_mushroom_block,2
10,gravel,50
11,gold_ore,21
12,cauldron,35
13,cobblestone,29
14,coal_ore,56
15,cobblestone,7
16,ender_chest,47
17,birch_door,41
18,glass,8
19,redstone_ore,52
20,quartz_block,41
21,empty,11
22,nether_brick,49
23,glowstone,58
24,barrier,34
25,jukebox,22
26,ladder,49
27,anvil,34
28,tripwire_hook,6
29,lapis_block,33
30,redstone_ore,55
31,cactus,50
32,daylight_detector,5
33,mossy_cobblestone,47
34,dirt,59
35,red_mushroom,5
