location,block,quantity
0,furnace,60
1,cobblestone_wall,9
2,brewing_stand,21
3,trapped_chest,58
4,mycelium,47
5,sand,49
6,empty,24
7,light_weighted_pressure_plate,32
8,empty,46
9,gravel,37
10,prismarine,61
11,bookshelf,23
12,coal_block,36
13,mycelium,49
14,empty,38
15,wheat,44
16,sponge,53
17,mossy_cobblestone,58
18,obsidian,17
19,sponge,36
20,ladder,49
21,coal_ore,31
22,iron_door,43
23,empty,13
24,empty,6
25,stone,44
26,obsidian,24
27,dropper,53
28,jungle_door,2
29,nether_brick_fence,41
30,light_weighted_pressure_plate,1
31,stone_slab,40
32,vine,40
33,ladder,34
34,light_weighted_pressure_plate,28
35,furnace,17
