location,block,quantity
0,jungle_door,36
1,beacon,47
2,stone_pressure_plate,49
3,cauldron,30
4,empty,47
5,dark_oak_door,28
6,nether_wart,34
7,obsidian,16
8,chest,26
9,empty,39
10,daylight_detector,59
11,nether_wart,12
12,brown_mushroom,28
13,empty,32
14,cobblestone_wall,16
15,activator_rail,48
16,glass_pane,35
17,glowstone,52
18,dark_oak_fence_gate,50
19,quartz_block,24
20,redstone_ore,62
21,clay,14
22,lapis_ore,62
23,trapped_chest,49
24,spruce_fence_gate,32
25,cobblestone,59
26,empty,37
27,empty,32
28,cobblestone_wall,44
29,farmland,39
30,hopper,7
31,packed_ice,22
32,enchanting_table,41
33,crafting_table,50
34,ladder,15
35,gold_ore,19
