location,block,quantity
0,tnt,48
1,sponge,41
2,mossy_cobblestone,36
3,empty,30
4,detector_rail,19
5,coal_block,61
6,birch_door,31
7,gold_block,35
8,heavy_weighted_pressure_plate,28
9,bedrock,20
10,cauldron,14
11,redstone_ore,37
12,dispenser,61
13,empty,19
14,rail,14
15,empty,5
16,crafting_table,42
17,empty,56
18,iron_block,51
19,stone_button,13
20,dirt,4
21,mycelium,41
22,redstone_block,16
23,beacon,57
24,sand,45
25,ender_chest,57
26,cobblestone,49
27,empty,5
28,spruce_door,24
29,empty,39
30,acacia_door,13
31,iron_door,38
32,chest,45
33,red_mushroom,32
34,empty,2
35,redstone_lamp,33
