location,block,quantity
0,sand,24
1,cauldron,42
2,dragon_egg,43
3,empty,59
4,coal_block,37
5,red_mushroom_block,3
6,furnace,47
7,iron_trapdoor,36
8,empty,34
9,acacia_fence_gate,55
10,mossy_cobblestone,18
11,gold_ore,28
12,clay,62
13,beacon,21
14,gold_ore,63
15,lapis_block,15
16,tnt,59
17,empty,61
18,spruce_fence,64
19,gravel,25
20,mossy_cobblestone,16
21,mycelium,61
22,command_block,7
23,iron_block,2
24,glass,4
25,packed_ice,19
26,jungle_fence_gate,52
27,clay,32
28,farmland,9
29,cauldron,49
30,heavy_weighted_pressure_plate,45
31,jukebox,51
32,sand,35
33,enchanting_table,37
34,brown_mushroom,9
35,trapped_chest,31
