location,block,quantity
0,empty,42
1,enchanting_table,62
2,dropper,5
3,stone_slab,4
4,rail,40
5,dispenser,56
6,diamond_ore,52
7,coal_block,46
8,brewing_stand,36
9,empty,33
10,sponge,52
11,empty,29
12,empty,14
13,nether_wart,50
14,redstone_lamp,6
15,stone_button,17
16,sand,16
17,cactus,56
18,dropper,43
19,sticky_piston,26
20,furnace,26
21,activator_rail,29
22,tnt,28
23,empty,53
24,jungle_fence,12
25,dark_oak_fence,34
26,glass,8
27,empty,10
28,tnt,57
29,dark_oak_fence,55
30,lapis_block,26
31,brewing_stand,53
32,tnt,58
33,enchanting_table,3
34,light_weighted_pressure_plate,61
35,spruce_fence_gate,25
