location,block,quantity
0,sea_lantern,35
1,red_mushroom,20
2,lapis_block,53
3,jungle_fence,13
4,jukebox,57
5,dispenser,25
6,gravel,29
7,gravel,10
8,empty,11
9,empty,8
10,furnace,34
11,tripwire_hook,40
12,birch_fence,48
13,dark_oak_fence_gate,38
14,tripwire_hook,49
15,brown_mushroom,33
16,lever,18
17,beacon,16
18,furnace,64
19,acacia_fence,64
20,command_block,50
21,detector_rail,33
22,birch_door,47
23,nether_brick,32
24,stone,18
25,empty,32
26,empty,20
27,dark_oak_fence_gate,58
28,furnace,8
29,dropper,54
30,empty,12
31,crafting_table,59
32,end_stone,5
33,glass_pane,1
34,torch,27
35,iron_trapdoor,63
