location,block,quantity
0,light_weighted_pressure_plate,62
1,jungle_door,26
2,prismarine,56
3,spruce_fence_gate,2
4,stone_slab,27
5,piston,2
6,gold_block,11
7,lever,24
8,lever,10
9,spruce_door,12
10,cobblestone,63
11,piston,27
12,activator_rail,35
13,diamond_ore,64
14,hopper,14
15,sandstone,39
16,crafting_table,41
17,ladder,51
18,light_weighted_pressure_plate,25
19,empty,56
20,crafting_table,32
21,empty,1
22,snow,50
23,bedrock,62
24,flower_pot,22
25,wheat,61
26,sticky_piston,46
27,birch_fence,37
28,lapis_block,46
29,jungle_fence_gate,53
30,chest,64
31,dispenser,50
32,enchanting_table,4
33,light_weighted_pressure_plate,50
34,snow,56
35,mycelium,46
