location,block,quantity
0,emerald_block,60
1,dark_oak_fence_gate,44
2,sea_lantern,63
3,prismarine,24
4,nether_wart,36
5,nether_brick_fence,28
6,empty,37
7,empty,10
8,redstone_torch,40
9,command_block,26
10,wheat,50
11,bedrock,45
12,sea_lantern,47
13,jungle_fence_gate,62
14,pumpkin,56
15,stone_pressure_plate,57
16,empty,42
17,flower_pot,11
18,sticky_piston,56
19,birch_fence,11
20,birch_fence,55
21,snow,21
22,birch_fence,62
23,coal_block,35
24,emerald_ore,32
25,bedrock,21
26,diamond_ore,28
27,red_mushroom,52
28,jungle_fence,29
29,stone,6
30,empty,58
31,command_block,53
32,snow,3
33,cactus,39
34,dark_oak_fence_gate,3
35,detector_rail,63
