location,block,quantity
0,empty,3
1,quartz_block,38
2,gravel,30
3,grass,28
4,daylight_detector,51
5,end_portal_frame,22
6,spruce_door,30
7,end_stone,44
8,empty,3
9,stone_pressure_plate,1
10,end_portal_frame,14
11,birch_fence_gate,36
12,dark_oak_door,24
13,glowstone,59
14,dark_oak_fence_gate,34
15,cobblestone,55
16,empty,22
17,wheat,30
18,birch_fence_gate,2
19,diamond_ore,58
20,dispenser,21
21,gold_block,45
22,stone_slab,16
23,empty,44
24,diamond_ore,32
25,glowstone,8
26,spruce_door,29
27,jungle_fence,49
28,cobblestone_wall,3
29,anvil,12
30,activator_rail,43
31,beacon,30
32,cactus,33
33,vine,36
34,pumpkin,51
35,snow,64
