location,block,quantity
0,hopper,4
1,tripwire_hook,19
2,stone_pressure_plate,64
3,empty,56
4,empty,39
5,red_sandstone,64
6,gold_block,43
7,grass,8
8,ladder,55
9,jungle_fence_gate,34
10,mycelium,59
11,acacia_fence_gate,22
12,anvil,30
13,nether_brick,48
14,acacia_fence,22
15,spruce_fence,19
16,activator_rail,36
17,acacia_fence,63
18,brown_mushroom_block,29
19,piston,14
20,tripwire_hook,45
21,stone,61
22,gold_block,24
23,mycelium,4
24,empty,36
25,emerald_ore,64
26,sandstone,9
27,jungle_fence,54
28,spruce_fence,1
29,wheat,36
30,emerald_ore,30
31,empty,31
32,gold_ore,28
33,emerald_ore,57
34,quartz_block,62
35,empty,6
