location,block,quantity
0,jungle_fence,12
1,cobblestone_wall,32
2,empty,46
3,gravel,37
4,dark_oak_fence_gate,49
5,end_portal_frame,58
6,empty,6
7,ice,55
8,nether_brick_fence,1
9,rail,41
10,diamond_ore,32
11,acacia_fence,41
12,jungle_fence,44
13,empty,3
14,cobblestone_wall,48
15,end_stone,14
16,clay,21
17,coal_ore,18
18,pumpkin,42
19,lever,38
20,empty,35
21,stone,26
22,red_sandstone,16
23,ender_chest,22
24,anvil,29
25,empty,38
26,enchanting_table,28
27,empty,38
28,bookshelf,9
29,end_stone,49
30,spruce_door,13
31,redstone_torch,15
32,enchanting_table,1
33,packed_ice,34
34,empty,20
35,spruce_fence_gate,29
