location,block,quantity
0,heavy_weighted_pressure_plate,25
1,heavy_weighted_pressure_plate,54
2,sea_lantern,46
3,iron_block,31
4,iron_trapdoor,31
5,dirt,55
6,birch_fence_gate,48
7,stone_slab,46
8,jukebox,19
9,flower_pot,33
10,hopper,36
11,dirt,14
12,detector_rail,47
13,ender_chest,9
14,farmland,58
15,coal_ore,19
16,sandstone,3
17,empty,14
18,sandstone,40
19,end_stone,46
20,gold_block,9
21,brewing_stand,39
22,packed_ice,53
23,jukebox,18
24,bookshelf,21
25,lever,35
26,activator_rail,13
27,empty,44
28,empty,4
29,empty,7
30,quartz_block,10
31,enchanting_table,26
32,grass,62
33,daylight_detector,58
34,wheat,55
35,snow,35
