location,block,quantity
0,empty,46
1,stone,53
2,empty,34
3,prismarine,39
4,sponge,50
5,spruce_fence,31
6,quartz_block,47
7,spruce_fence_gate,27
8,vine,31
9,gold_block,11
10,redstone_torch,4
11,empty,25
12,brown_mushroom,43
13,diamond_block,20
14,command_block,14
15,sponge,53
16,acacia_fence_gate,63
17,end_portal_frame,32
18,heavy_weighted_pressure_plate,44
19,prismarine,33
20,sponge,41
21,empty,50
22,empty,22
23,light_weighted_pressure_plate,10
24,ladder,30
25,end_stone,31
26,cake,18
27,diamond_ore,3
28,empty,27
29,ice,62
30,snow,24
31,netherrack,16
32,lapis_ore,42
33,emerald_ore,1
34,bookshelf,63
35,jungle_fence_gate,47
