location,block,quantity
0,empty,41
1,glowstone,58
2,spruce_fence,4
3,cauldron,24
4,grass,13
5,empty,32
6,dispenser,12
7,empty,28
8,beacon,44
9,empty,14
10,tnt,45
11,heavy_weighted_pressure_plate,51
12,furnace,41
13,empty,52
14,hopper,17
15,gold_block,28
16,coal_block,22
17,iron_block,22
18,mycelium,34
19,red_sandstone,48
20,piston,20
21,empty,2
22,iron_trapdoor,57
23,coal_ore,53
24,empty,50
25,cauldron,52
26,sticky_piston,45
27,enchanting_table,51
28,glass,42
29,jukebox,5
30,stone_button,11
31,birch_door,29
32,dark_oak_door,17
33,glass,19
34,farmland,13
35,sticky_piston,24
