location,block,quantity
0,ender_chest,7
1,redstone_block,26
2,redstone_ore,31
3,birch_fence_gate,24
4,ender_chest,19
5,glowstone,49
6,snow,56
7,spruce_fence_gate,60
8,empty,34
9,red_sandstone,53
10,cactus,18
11,cobblestone_wall,36
12,daylight_detector,13
13,dirt,64
14,redstone_block,35
15,sandstone,37
16,nether_wart,55
17,empty,17
18,birch_door,63
19,redstone_torch,53
20,red_mushroom,35
21,iron_door,63
22,heavy_weighted_pressure_plate,4
23,obsidian,46
24,hay_block,57
25,vine,24
26,dirt,35
27,detector_rail,1
28,cactus,56
29,redstone_lamp,41
30,nether_brick,53
31,hay_block,16
32,red_mushroom_block,44
33,redstone_block,17
34,soul_sand,56
35,red_mushroom,9
