location,block,quantity
0,jungle_door,29
1,activator_rail,59
2,nether_brick_fence,26
3,torch,45
4,glass,9
5,end_stone,10
6,gold_block,61
7,snow,9
8,chest,6
9,birch_door,15
10,emerald_ore,6
11,birch_fence_gate,41
12,coal_ore,60
13,ender_chest,60
14,vine,62
15,pumpkin,37
16,barrier,54
17,dark_oak_fence,35
18,red_mushroom,47
19,packed_ice,7
20,vine,62
21,glowstone,45
22,empty,33
23,dark_oak_fence,37
24,diamond_block,38
25,jungle_fence,64
26,nether_wart,59
27,vine,9
28,wheat,63
29,lever,18
30,dirt,24
31,nether_wart,12
32,tripwire_hook,28
33,sand,57
34,obsidian,55
35,birch_fence,36
