location,block,quantity
0,snow,52
1,jungle_fence_gate,44
2,daylight_detector,51
3,cobblestone_wall,45
4,sand,35
5,trapped_chest,44
6,mossy_cobblestone,51
7,daylight_detector,19
8,anvil,31
9,trapped_chest,49
10,sticky_piston,56
11,nether_wart,31
12,activator_rail,59
13,dark_oak_fence,57
14,iron_bars,49
15,empty,7
16,dark_oak_fence,2
17,bookshelf,6
18,iron_block,21
19,spruce_fence,4
20,iron_bars,2
21,gravel,40
22,torch,37
23,stone_pressure_plate,27
24,activator_rail,43
25,acacia_fence,22
26,prismarine,58
27,empty,46
28,brewing_stand,17
29,dark_oak_door,26
30,clay,62
31,cake,51
32,spruce_door,51
33,mossy_cobblestone,13
34,glowstone,44
35,chest,53
