location,block,quantity
0,acacia_fence,12
1,redstone_lamp,48
2,end_stone,5
3,iron_door,34
4,diamond_ore,54
5,nether_brick_fence,15
6,cobblestone,28
7,brewing_stand,16
8,brown_mushroom,30
9,acacia_fence_gate,51
10,iron_door,46
11,lapis_ore,52
12,empty,25
13,nether_brick,22
14,sticky_piston,9
15,stone_button,13
16,jungle_door,5
17,empty,27
18,iron_trapdoor,14
19,ice,50
20,cake,4
21,prismarine,32
22,gold_block,45
23,torch,20
24,jungle_fence,5
25,birch_door,10
26,red_sandstone,41
27,emerald_ore,9
28,cake,13
29,coal_ore,26
30,empty,63
31,empty,20
32,bedrock,38
33,glass,64
34,empty,1
35,empty,42
