location,block,quantity
0,cobblestone_wall,14
1,brown_mushroom_block,52
2,nether_brick,47
3,empty,22
4,iron_bars,30
5,jungle_fence_gate,50
6,birch_fence_gate,46
7,daylight_detector,57
8,cake,9
9,empty,62
10,farmland,58
11,coal_block,49
12,furnace,12
13,enchanting_table,46
14,birch_fence_gate,4
15,brown_mushroom,58
16,empty,25
17,command_block,7
18,mycelium,22
19,snow,50
20,ender_chest,4
21,bookshelf,1
22,birch_door,58
23,crafting_table,36
24,redstone_lamp,28
25,ice,6
26,chest,58
27,empty,8
28,stone_button,29
29,empty,63
30,daylight_detector,47
31,empty,14
32,sandstone,38
33,dispenser,19
34,netherrack,2
35,hopper,18
