location,block,quantity
0,vine,20
1,flower_pot,59
2,redstone_torch,40
3,diamond_block,6
4,bedrock,60
5,hopper,55
6,empty,21
7,coal_block,3
8,gravel,10
9,red_mushroom,37
10,grass,14
11,cactus,57
12,birch_door,2
13,light_weighted_pressure_plate,54
14,stone_slab,43
15,nether_brick,50
16,hay_block,48
17,crafting_table,56
18,dragon_egg,38
19,bedrock,41
20,nether_wart,53
21,pumpkin,50
22,glass,14
23,sea_lantern,62
24,acacia_fence,18
25,rail,3
26,dispenser,15
27,gold_block,10
28,soul_sand,5
29,nether_wart,37
30,acacia_fence_gate,21
31,spruce_door,42
32,piston,24
33,trapped_chest,51
34,dragon_egg,13
35,empty,33
