location,block,quantity
0,sticky_piston,36
1,glass_pane,27
2,barrier,61
3,flower_pot,47
4,furnace,2
5,stone_pressure_plate,9
6,birch_fence,48
7,dark_oak_door,58
8,spruce_fence,19
9,empty,30
10,bedrock,43
11,glass_pane,37
12,redstone_torch,42
13,iron_door,29
14,gold_ore,58
15,light_weighted_pressure_plate,20
16,cactus,20
17,stone_pressure_plate,52
18,brewing_stand,3
19,spruce_fence_gate,9
20,spruce_door,56
21,brown_mushroom,41
22,birch_fence,14
23,nether_brick_fence,12
24,enchanting_table,7
25,diamond_block,44
26,dark_oak_fence_gate,63
27,empty,63
28,sandstone,41
29,cauldron,47
30,stone_button,18
31,brown_mushroom_block,59
32,nether_brick_fence,8
33,brown_mushroom,46
34,jungle_fence,26
35,nether_wart,40
