location,block,quantity
0,lever,12
1,gravel,57
2,emerald_block,52
3,gravel,44
4,spruce_door,52
5,acacia_fence_gate,6
6,diamond_block,44
7,iron_block,12
8,packed_ice,11
9,brown_mushroom_block,11
10,tripwire_hook,14
11,redstone_ore,20
12,cauldron,9
13,netherrack,16
14,netherrack,58
15,stone_pressure_plate,40
16,light_weighted_pressure_plate,5
17,anvil,58
18,cobblestone,45
19,dark_oak_door,59
20,red_sandstone,11
21,rail,29
22,chest,16
23,gravel,12
24,heavy_weighted_pressure_plate,27
25,spruce_fence,11
26,furnace,12
27,stone_button,35
28,piston,15
29,diamond_ore,55
30,dispenser,2
31,dirt,62
32,brown_mushroom_block,35
33,coal_ore,61
34,empty,18
35,mossy_cobblestone,4
