location,block,quantity
0,red_mushroom,33
1,empty,35
2,quartz_block,37
3,diamond_ore,1
4,empty,17
5,iron_ore,23
6,stone_slab,25
7,gravel,2
8,ender_chest,50
9,nether_brick_fence,45
10,rail,14
11,brown_mushroom,2
12,empty,9
13,dark_oak_door,10
14,redstone_torch,46
15,end_portal_frame,59
16,detector_rail,36
17,torch,17
18,dark_oak_fence,16
19,stone_pressure_plate,51
20,lapis_block,13
21,jukebox,21
22,activator_rail,33
23,glowstone,37
24,rail,40
25,spruce_fence,32
26,empty,4
27,empty,10
28,anvil,24
29,empty,2
30,spruce_door,60
31,dropper,52
32,chest,61
33,empty,45
34,birch_fence_gate,10
35,tnt,17
