location,block,quantity
0,brewing_stand,9
1,brown_mushroom_block,58
2,dirt,13
3,empty,35
4,dragon_egg,61
5,gold_ore,46
6,jungle_door,52
7,bedrock,30
8,acacia_fence,1
9,tripwire_hook,42
10,barrier,3
11,sponge,17
12,lever,8
13,anvil,21
14,beacon,52
15,gold_block,28
16,sea_lantern,7
17,end_stone,15
18,chest,22
19,hopper,54
20,dark_oak_fence_gate,51
21,wheat,3
22,gold_block,35
23,gravel,8
24,hopper,36
25,stone_slab,5
26,empty,31
27,light_weighted_pressure_plate,39
28,empty,27
29,bookshelf,15
30,stone,46
31,redstone_ore,53
32,end_stone,55
33,end_portal_frame,17
34,stone_slab,11
35,dark_oak_door,19
