location,block,quantity
0,gravel,31
1,end_portal_frame,22
2,empty,62
3,stone,54
4,diamond_block,54
5,tripwire_hook,38
6,birch_door,60
7,redstone_ore,10
8,glowstone,52
9,end_stone,16
10,empty,56
11,command_block,48
12,diamond_ore,37
13,birch_fence_gate,26
14,empty,40
15,empty,2
16,dirt,20
17,mossy_cobblestone,47
18,iron_door,16
19,gold_ore,16
20,ladder,3
21,dropper,50
22,stone,53
23,acacia_fence_gate,19
24,cobblestone_wall,52
25,iron_trapdoor,58
26,stone_button,45
27,ender_chest,14
28,packed_ice,44
29,ender_chest,57
30,empty,32
31,bedrock,55
32,clay,12
33,empty,42
34,torch,12
35,sponge,17
