location,block,quantity
0,gold_ore,30
1,birch_door,41
2,brown_mushroom_block,21
3,empty,39
4,anvil,31
5,soul_sand,41
6,empty,37
7,glowstone,53
8,diamond_ore,17
9,netherrack,21
10,rail,10
11,cactus,14
12,empty,25
13,stone_button,54
14,red_mushroom_block,37
15,acacia_fence,63
16,mossy_cobblestone,62
17,beacon,55
18,gravel,28
19,diamond_ore,15
20,redstone_ore,47
21,obsidian,56
22,ice,23
23,sticky_piston,33
24,iron_trapdoor,29
25,empty,62
26,bookshelf,61
27,packed_ice,41
28,iron_trapdoor,38
29,sea_lantern,50
30,rail,6
31,nether_brick_fence,3
32,jungle_fence,24
33,mossy_cobblestone,34
34,spruce_fence_gate,43
35,red_mushroom,23
