location,block,quantity
0,empty,37
1,daylight_detector,18
2,dirt,15
3,iron_door,48
4,dark_oak_fence_gate,64
5,iron_ore,27
6,lapis_ore,41
7,diamond_ore,33
8,red_mushroom,16
9,diamond_block,53
10,brewing_stand,54
11,acacia_door,18
12,rail,30
13,tripwire_hook,35
14,empty,37
15,netherrack,54
16,cobblestone,21
17,torch,47
18,jungle_fence,4
19,diamond_block,2
20,birch_fence_gate,9
21,redstone_block,9
22,empty,58
23,end_stone,35
24,acacia_door,64
25,dark_oak_door,29
26,stone_pressure_plate,57
27,empty,64
28,glass_pane,35
29,netherrack,17
30,sand,56
31,diamond_block,14
32,red_sandstone,5
33,empty,40
34,netherrack,35
35,stone_slab,18
