location,block,quantity
0,dropper,12
1,anvil,37
2,lever,24
3,gold_ore,9
4,flower_pot,60
5,brown_mushroom_block,30
6,lever,42
7,redstone_block,44
8,stone_slab,38
9,birch_fence,23
10,grass,16
11,cobblestone_wall,11
12,piston,48
13,cactus,30
14,jungle_fence_gate,26
15,enchanting_table,22
16,trapped_chest,58
17,barrier,22
18,red_mushroom,40
19,empty,49
20,barrier,11
21,barrier,58
22,lapis_block,56
23,empty,37
24,packed_ice,57
25,heavy_weighted_pressure_plate,22
26,stone_slab,28
27,command_block,48
28,detector_rail,62
29,gravel,46
30,quartz_block,63
31,dirt,63
32,gravel,49
33,diamond_block,44
34,birch_door,6
35,sandstone,28
