location,block,quantity
0,dropper,63
1,jungle_fence,9
2,end_stone,25
3,redstone_torch,7
4,barrier,13
5,bedrock,2
6,light_weighted_pressure_plate,54
7,heavy_weighted_pressure_plate,61
8,ladder,8
9,dark_oak_door,6
10,flower_pot,59
11,sand,46
12,gold_block,10
13,end_stone,49
14,birch_door,11
15,trapped_chest,16
16,dispenser,44
17,dark_oak_fence_gate,64
18,redstone_ore,1
19,empty,34
20,anvil,58
21,ladder,1
22,activator_rail,44
23,pumpkin,34
24,enchanting_table,15
25,soul_sand,42
26,barrier,58
27,redstone_lamp,34
28,sea_lantern,16
29,piston,27
30,iron_block,13
31,tnt,22
32,empty,54
33,bedrock,44
34,diamond_ore,46
35,pumpkin,34
