location,block,quantity
0,brown_mushroom,17
1,ender_chest,4
2,gold_block,49
3,torch,56
4,jukebox,19
5,iron_door,64
6,crafting_table,58
7,cake,22
8,snow,44
9,dragon_egg,15
10,birch_fence,22
11,piston,46
12,coal_ore,1
13,cobblestone,59
14,empty,22
15,glowstone,10
16,prismarine,24
17,gravel,55
18,brown_mushroom_block,23
19,cobblestone,46
20,lever,59
21,dark_oak_fence,37
22,iron_bars,42
23,pumpkin,8
24,stone_button,28
25,hopper,52
26,empty,34
27,lapis_ore,62
28,cauldron,60
29,redstone_lamp,32
30,brown_mushroom_block,15
31,glass_pane,30
32,detector_rail,1
33,bookshelf,13
34,empty,45
35,detector_rail,38
