location,block,quantity
0,brown_mushroom,59
1,empty,31
2,gold_block,28
3,ladder,37
4,empty,45
5,chest,38
6,end_portal_frame,52
7,jungle_fence,18
8,empty,27
9,grass,58
10,sticky_piston,54
11,cobblestone,54
12,end_stone,52
13,activator_rail,9
14,command_block,26
15,netherrack,32
16,redstone_block,14
17,glowstone,50
18,stone_pressure_plate,5
19,mycelium,19
20,soul_sand,59
21,jungle_door,51
22,empty,17
23,iron_ore,64
24,spruce_fence,63
25,trapped_chest,22
26,redstone_torch,49
27,birch_fence,44
28,spruce_door,16
29,daylight_detector,34
30,nether_wart,51
31,empty,62
32,tripwire_hook,22
33,cobblestone,29
34,flower_pot,32
35,spruce_fence_gate,6
