location,block,quantity
0,mycelium,26
1,red_sandstone,54
2,trapped_chest,36
3,empty,63
4,bookshelf,20
5,empty,44
6,trapped_chest,55
7,brown_mushroom_block,41
8,red_mushroom,58
9,spruce_fence,11
10,barrier,29
11,birch_door,52
12,redstone_block,51
13,command_block,13
14,bookshelf,23
15,ender_chest,12
16,anvil,48
17,packed_ice,15
18,pumpkin,59
19,furnace,54
20,ice,48
21,torch,21
22,wheat,53
23,empty,8
24,gold_block,27
25,jukebox,23
26,rail,58
27,spruce_door,34
28,acacia_door,64
29,sandstone,21
30,jungle_door,25
31,dark_oak_fence,48
32,lever,40
33,daylight_detector,21
34,enchanting_table,37
35,dispenser,61
