location,block,quantity
0,dark_oak_fence_gate,4
1,piston,42
2,dirt,46
3,lapis_ore,26
4,enchanting_table,52
5,anvil,53
6,redstone_lamp,46
7,iron_bars,24
8,empty,62
9,brown_mushroom,53
10,empty,46
11,crafting_table,28
12,end_portal_frame,16
13,iron_bars,64
14,iron_bars,24
15,jukebox,11
16,redstone_ore,12
17,ladder,51
18,iron_bars,14
19,soul_sand,3
20,quartz_block,51
21,empty,35
22,coal_ore,24
23,cobblestone,55
24,spruce_fence_gate,6
25,beacon,63
26,anvil,7
27,rail,20
28,empty,20
29,sand,23
30,jungle_fence,16
31,diamond_ore,49
32,diamond_block,23
33,mossy_cobblestone,29
34,cactus,52
35,redstone_torch,22
