location,block,quantity
0,iron_block,20
1,empty,3
2,red_mushroom_block,62
3,hopper,36
4,tnt,26
5,wheat,17
6,hay_block,31
7,command_block,38
8,empty,36
9,ender_chest,10
10,netherrack,35
11,vine,49
12,barrier,40
13,crafting_table,44
14,redstone_lamp,46
15,sandstone,45
16,cactus,53
17,empty,16
18,jungle_fence,25
19,wheat,2
20,sticky_piston,24
21,iron_ore,5
22,glowstone,40
23,crafting_table,63
24,piston,28
25,empty,35
26,empty,6
27,redstone_lamp,46
28,cobblestone,35
29,snow,51
30,red_sandstone,6
31,acacia_door,12
32,empty,42
33,dark_oak_fence,23
34,nether_wart,16
35,activator_rail,3
