location,block,quantity
0,stone_pressure_plate,48
1,glowstone,62
2,jungle_door,51
3,red_mushroom_block,17
4,barrier,45
5,chest,42
6,piston,40
7,empty,59
8,chest,41
9,iron_trapdoor,34
10,brown_mushroom_block,14
11,empty,63
12,empty,39
13,bookshelf,54
14,redstone_ore,56
15,lever,4
16,empty,13
17,heavy_weighted_pressure_plate,35
18,prismarine,36
19,cobblestone,55
20,stone_pressure_plate,33
21,bedrock,8
22,daylight_detector,45
23,iron_block,36
24,redstone_lamp,55
25,spruce_fence,32
26,grass,5
27,diamond_ore,8
28,dropper,2
29,empty,36
30,stone_pressure_plate,55
31,tnt,62
32,packed_ice,64
33,furnace,13
34,end_stone,27
35,emerald_ore,51
