location,block,quantity
0,redstone_block,16
1,empty,49
2,soul_sand,17
3,acacia_fence,8
4,redstone_block,19
5,brown_mushroom_block,53
6,stone_slab,22
7,jukebox,44
8,acacia_fence_gate,31
9,empty,46
10,iron_door,59
11,jukebox,23
12,detector_rail,52
13,netherrack,40
14,sandstone,22
15,netherrack,15
16,iron_block,8
17,stone_pressure_plate,25
18,daylight_detector,55
19,coal_ore,4
20,command_block,10
21,beacon,6
22,empty,39
23,sandstone,33
24,furnace,11
25,acacia_fence,31
26,coal_block,6
27,flower_pot,35
28,cobblestone,6
29,gold_ore,45
30,spruce_fence_gate,15
31,redstone_torch,56
32,chest,3
33,empty,50
34,lapis_ore,50
35,anvil,38
