location,block,quantity
0,spruce_fence,36
1,stone_button,4
2,mossy_cobblestone,31
3,empty,20
4,stone_pressure_plate,11
5,dirt,62
6,dirt,33
7,trapped_chest,50
8,acacia_door,54
9,ender_chest,4
10,cake,32
11,jukebox,16
12,empty,32
13,barrier,22
14,torch,14
15,clay,19
16,empty,31
17,empty,3
18,redstone_lamp,2
19,empty,35
20,acacia_door,6
21,snow,50
22,snow,9
23,stone_pressure_plate,6
24,brewing_stand,18
25,anvil,4
26,glass,59
27,tripwire_hook,16
28,heavy_weighted_pressure_plate,30
29,wheat,55
30,glass_pane,58
31,end_stone,27
32,brown_mushroom,22
33,glass,30
34,dark_oak_fence_gate,27
35,enchanting_table,24
