location,block,quantity
0,spruce_fence_gate,47
1,nether_brick,53
2,end_stone,23
3,heavy_weighted_pressure_plate,13
4,empty,34
5,snow,58
6,quartz_block,39
7,jungle_fence_gate,10
8,crafting_table,3
9,dark_oak_fence,7
10,coal_ore,4
11,furnace,46
12,stone,52
13,soul_sand,44
14,grass,6
15,packed_ice,16
16,acacia_fence,10
17,sponge,10
18,jungle_fence_gate,55
19,stone_button,47
20,dark_oak_fence_gate,41
21,sticky_piston,53
22,sandstone,11
23,diamond_ore,61
24,beacon,42
25,nether_wart,2
26,lapis_ore,30
27,soul_sand,22
28,coal_block,11
29,heavy_weighted_pressure_plate,64
30,netherrack,10
31,wheat,52
32,empty,64
33,sea_lantern,57
34,jungle_door,47
35,brown_mushroom_block,41
