location,block,quantity
0,command_block,26
1,gravel,54
2,tnt,50
3,light_weighted_pressure_plate,48
4,sand,23
5,diamond_ore,11
6,barrier,34
7,cake,57
8,enchanting_table,59
9,daylight_detector,56
10,spruce_fence,62
11,red_mushroom_block,31
12,wheat,64
13,spruce_door,64
14,empty,25
15,hay_block,47
16,jungle_fence,46
17,empty,38
18,red_mushroom_block,35
19,iron_door,18
20,dragon_egg,58
21,mycelium,44
22,empty,48
23,hay_block,14
24,nether_brick,61
25,detector_rail,22
26,grass,12
27,emerald_block,50
28,jungle_fence,14
29,obsidian,16
30,stone_button,29
31,cauldron,39
32,acacia_fence_gate,18
33,jungle_fence,14
34,acacia_fence,53
35,spruce_fence_gate,3
