location,block,quantity
0,chest,23
1,clay,28
2,dispenser,3
3,gravel,44
4,empty,39
5,sandstone,31
6,hay_block,40
7,wheat,64
8,stone_pressure_plate,9
9,redstone_torch,41
10,sticky_piston,58
11,rail,23
12,clay,53
13,torch,43
14,spruce_fence,44
15,empty,40
16,empty,28
17,dark_oak_fence_gate,17
18,jukebox,33
19,red_mushroom_block,22
20,acacia_door,10
21,clay,20
22,spruce_door,18
23,dragon_egg,34
24,iron_ore,42
25,farmland,31
26,glowstone,28
27,tripwire_hook,49
28,jukebox,49
29,torch,10
30,clay,42
31,gravel,1
32,red_mushroom_block,55
33,spruce_fence_gate,30
34,iron_block,41
35,piston,18
