location,block,quantity
0,nether_brick,27
1,iron_door,26
2,jungle_fence_gate,27
3,stone,48
4,acacia_door,44
5,crafting_table,52
6,emerald_ore,15
7,stone_pressure_plate,50
8,enchanting_table,31
9,clay,16
10,redstone_ore,2
11,brown_mushroom,45
12,iron_bars,52
13,lapis_ore,8
14,hopper,38
15,jungle_door,10
16,red_sandstone,63
17,gravel,38
18,spruce_fence,14
19,farmland,61
20,empty,46
21,prismarine,54
22,furnace,50
23,empty,52
24,empty,19
25,emerald_block,29
26,spruce_fence_gate,40
27,cauldron,13
28,empty,42
29,jukebox,58
30,jungle_fence_gate,53
31,empty,45
32,jukebox,47
33,mossy_cobblestone,18
34,brown_mushroom_block,30
35,vine,64
