location,block,quantity
0,emerald_ore,13
1,nether_wart,54
2,dark_oak_fence,54
3,grass,48
4,light_weighted_pressure_plate,54
5,packed_ice,53
6,prismarine,61
7,snow,36
8,empty,40
9,iron_trapdoor,57
10,farmland,16
11,heavy_weighted_pressure_plate,44
12,redstone_ore,43
13,empty,19
14,nether_wart,15
15,red_mushroom_block,54
16,jukebox,10
17,bookshelf,18
18,end_portal_frame,12
19,trapped_chest,63
20,end_portal_frame,1
21,iron_block,60
22,jukebox,40
23,empty,64
24,empty,44
25,enchanting_table,6
26,mossy_cobblestone,59
27,nether_wart,16
28,empty,33
29,spruce_fence,39
30,stone,56
31,glass_pane,32
32,stone,51
33,glass,21
34,birch_fence,16
35,cauldron,47
