location,block,quantity
0,nether_brick,50
1,sandstone,35
2,empty,32
3,trapped_chest,36
4,ladder,64
5,glass_pane,36
6,cauldron,42
7,iron_bars,10
8,cake,3
9,jungle_fence,37
10,diamond_ore,18
11,dark_oak_fence,43
12,empty,55
13,ender_chest,36
14,acacia_door,62
15,clay,27
16,sticky_piston,60
17,gravel,37
18,sea_lantern,32
19,beacon,37
20,birch_fence_gate,14
21,netherrack,14
22,stone_pressure_plate,14
23,iron_ore,46
24,vine,25
25,empty,4
26,iron_bars,54
27,empty,2
28,birch_fence_gate,18
29,empty,61
30,quartz_block,6
31,empty,31
32,stone_pressure_plate,40
33,prismarine,31
34,iron_block,34
35,wheat,5
