location,block,quantity
0,sponge,47
1,jungle_fence_gate,52
2,stone_pressure_plate,11
3,ender_chest,45
4,quartz_block,56
5,sponge,17
6,stone,6
7,acacia_fence,55
8,stone_pressure_plate,8
9,gold_ore,31
10,birch_fence_gate,10
11,empty,54
12,emerald_ore,51
13,torch,64
14,dropper,44
15,spruce_fence,35
16,empty,62
17,trapped_chest,13
18,hay_block,17
19,nether_wart,56
20,cake,18
21,jungle_fence,42
22,jungle_door,58
23,dragon_egg,46
24,ender_chest,28
25,trapped_chest,58
26,clay,45
27,red_mushroom,36
28,empty,55
29,red_sandstone,6
30,ice,56
31,pumpkin,3
32,diamond_block,24
33,cobblestone_wall,31
34,snow,51
35,clay,61
