location,block,quantity
0,crafting_table,13
1,jungle_fence,33
2,ender_chest,30
3,light_weighted_pressure_plate,54
4,heavy_weighted_pressure_plate,34
5,glowstone,5
6,stone_pressure_plate,36
7,sea_lantern,13
8,pumpkin,5
9,brewing_stand,5
10,glowstone,40
11,farmland,31
12,packed_ice,46
13,acacia_fence_gate,35
14,empty,19
15,obsidian,21
16,spruce_fence_gate,20
17,emerald_ore,60
18,mycelium,35
19,gold_ore,31
20,packed_ice,16
21,gold_ore,21
22,ladder,43
23,ice,7
24,light_weighted_pressure_plate,4
25,mossy_cobblestone,45
26,brown_mushroom,5
27,clay,53
28,stone,44
29,empty,22
30,iron_door,9
31,gravel,32
32,brewing_stand,60
33,dragon_egg,28
34,torch,19
35,glass_pane,10
