location,block,quantity
0,farmland,49
1,jungle_fence,50
2,acacia_fence,61
3,red_mushroom,34
4,ladder,22
5,red_mushroom_block,51
6,vine,8
7,acacia_stairs,38
8,soul_sand,25
9,pumpkin,63
10,brick_stairs,13
11,iron_ore,43
12,spruce_stairs,5
13,sponge,43
14,brewing_stand,39
15,sticky_piston,36
16,glass,37
17,light_weighted_pressure_plate,41
18,glowstone,2
19,lapis_ore,15
20,emerald_ore,27
21,stone_brick_stairs,1
22,torch,61
23,sandstone_stairs,64
24,iron_bars,6
25,sponge,55
26,cobblestone,8
27,bedrock,57
28,sandstone_stairs,54
29,hay_block,8
30,packed_ice,46
31,obsidian,28
32,glass,15
33,lever,11
34,iron_door,23
35,command_block,61
