location,block,quantity
0,trapped_chest,46
1,soul_sand,13
2,brown_mushroom_block,28
3,dragon_egg,9
4,emerald_block,19
5,lever,5
6,jungle_fence_gate,54
7,sandstone_stairs,62
8,iron_trapdoor,4
9,hay_block,46
10,gold_block,7
11,red_sandstone,34
12,gold_ore,57
13,iron_ore,47
14,sea_lantern,52
15,cake,54
16,sea_lantern,30
17,prismarine,56
18,detector_rail,5
19,wheat,24
20,command_block,3
21,packed_ice,20
22,soul_sand,18
23,birch_door,2
24,glass_pane,12
25,jukebox,39
26,spruce_fence,40
27,iron_trapdoor,38
28,dark_oak_stairs,20
29,emerald_block,58
30,iron_trapdoor,29
31,enchanting_table,14
32,crafting_table,61
33,stone_slab,63
34,glass,54
35,enchanting_table,51
