location,block,quantity
0,stone_button,30
1,spruce_fence_gate,46
2,cactus,16
3,dispenser,39
4,anvil,35
5,redstone_lamp,18
6,chest,31
7,sandstone_stairs,5
8,dark_oak_stairs,9
9,stone_slab,11
10,light_weighted_pressure_plate,32
11,vine,60
12,iron_bars,42
13,jungle_door,38
14,hay_block,48
15,brown_mushroom,7
16,brick_stairs,50
17,nether_brick_fence,49
18,clay,42
19,dispenser,20
20,piston,16
21,dark_oak_fence_gate,27
22,jukebox,48
23,birch_fence,47
24,iron_door,55
25,cobblestone,6
26,farmland,8
27,lapis_block,46
28,hopper,57
29,cactus,18
30,acacia_door,18
31,acacia_stairs,11
32,cauldron,14
33,acacia_fence_gate,57
34,ice,34
35,iron_bars,11
