location,block,quantity
0,gold_ore,11
1,spruce_fence_gate,24
2,iron_trapdoor,7
3,sea_lantern,63
4,redstone_ore,37
5,redstone_lamp,44
6,cobblestone_wall,58
7,bedrock,30
8,stone_brick_stairs,6
9,snow,17
10,lever,45
11,red_mushroom,63
12,wheat,1
13,spruce_stairs,11
14,dragon_egg,59
15,dispenser,2
16,lever,42
17,wheat,19
18,heavy_weighted_pressure_plate,59
19,stone,52
20,cauldron,42
21,quartz_stairs,64
22,empty,33
23,stone_button,33
24,daylight_detector,13
25,glass,28
26,iron_door,48
27,birch_door,24
28,glowstone,60
29,grass,33
30,dark_oak_stairs,58
31,stone_pressure_plate,42
32,command_block,31
33,stone_slab,58
34,jungle_stairs,28
35,flower_pot,62
