location,block,quantity
0,dark_oak_door,11
1,nether_brick_stairs,56
2,bookshelf,45
3,iron_bars,47
4,nether_wart,41
5,sticky_piston,44
6,mossy_cobblestone,30
7,redstone_block,35
8,iron_ore,1
9,pumpkin,27
10,nether_wart,28
11,jungle_door,38
12,spruce_stairs,60
13,nether_brick_fence,24
14,sea_lantern,8
15,ladder,49
16,ender_chest,47
17,command_block,6
18,jungle_stairs,25
19,coal_ore,39
20,quartz_stairs,26
21,brown_mushroom,19
22,redstone_block,61
23,farmland,22
24,coal_block,48
25,red_sandstone,4
26,mycelium,48
27,lever,45
28,red_mushroom,1
29,redstone_torch,2
30,birch_fence,63
31,barrier,15
32,sponge,40
33,acacia_fence,3
34,cake,33
35,birch_fence,30
