location,block,quantity
0,glowstone,15
1,sandstone_stairs,11
2,glowstone,36
3,snow,51
4,iron_block,61
5,cake,34
6,sandstone_stairs,22
7,gold_ore,4
8,light_weighted_pressure_plate,3
9,red_mushroom_block,60
10,grass,54
11,oak_stairs,32
12,stone_pressure_plate,12
13,sand,57
14,packed_ice,11
15,iron_door,14
16,enchanting_table,56
17,jukebox,44
18,glass_pane,26
19,cobblestone,41
20,dirt,15
21,sponge,31
22,piston,30
23,trapped_chest,56
24,hay_block,17
25,clay,12
26,oak_stairs,13
27,dark_oak_stairs,62
28,trapped_chest,5
29,stone_brick_stairs,63
30,sandstone,14
31,nether_brick_stairs,31
32,stone_button,1
33,sandstone_stairs,29
34,ladder,9
35,packed_ice,7
