location,block,quantity
0,clay,55
1,detector_rail,7
2,quartz_stairs,27
3,iron_block,36
4,cobblestone_wall,51
5,dark_oak_fence_gate,37
6,red_sandstone_stairs,6
7,trapped_chest,6
8,redstone_ore,16
9,gold_ore,22
10,iron_trapdoor,20
11,command_block,15
12,jungle_fence_gate,18
13,piston,11
14,acacia_fence_gate,4
15,tripwire_hook,31
16,prismarine,10
17,birch_fence,61
18,lapis_ore,62
19,gold_block,39
20,soul_sand,36
21,tnt,50
22,glass,9
23,emerald_ore,60
24,hay_block,36
25,piston,19
26,iron_ore,34
27,anvil,28
28,dark_oak_door,14
29,barrier,31
30,jungle_stairs,36
31,brown_mushroom_block,59
32,command_block,42
33,stone_slab,55
34,clay,52
35,stone_slab,45
