location,block,quantity
0,command_block,22
1,torch,59
2,soul_sand,22
3,red_mushroom,15
4,lapis_block,41
5,nether_brick_stairs,55
6,dark_oak_fence_gate,44
7,sticky_piston,57
8,birch_stairs,30
9,tnt,24
10,lapis_block,37
11,redstone_torch,57
12,redstone_ore,59
13,red_mushroom,21
14,iron_block,14
15,iron_door,42
16,cauldron,62
17,brewing_stand,11
18,redstone_torch,17
19,brewing_stand,50
20,cobblestone,1
21,redstone_lamp,36
22,sea_lantern,50
23,lapis_block,8
24,anvil,32
25,stone,22
26,bookshelf,48
27,hopper,30
28,pumpkin,22
29,mossy_cobblestone,15
30,sea_lantern,11
31,jungle_fence_gate,34
32,nether_brick,43
33,grass,53
34,trapped_chest,46
35,sandstone,36
