location,block,quantity
0,sticky_piston,33
1,activator_rail,9
2,iron_ore,21
3,end_portal_frame,10
4,sand,2
5,soul_sand,39
6,hay_block,44
7,iron_door,16
8,iron_bars,31
9,torch,48
10,hay_block,57
11,spruce_door,58
12,nether_wart,15
13,obsidian,3
14,jukebox,24
15,cobblestone,2
16,brick_stairs,60
17,birch_fence_gate,46
18,dirt,62
19,birch_stairs,58
20,coal_block,64
21,spruce_fence_gate,20
22,acacia_stairs,15
23,daylight_detector,48
24,vine,19
25,torch,56
26,coal_ore,6
27,jukebox,17
28,brown_mushroom,57
29,brown_mushroom_block,24
30,jukebox,30
31,birch_fence,26
32,ladder,19
33,redstone_torch,42
34,oak_stairs,48
35,birch_fence,3
