location,block,quantity
0,glass_pane,27
1,packed_ice,2
2,flower_pot,2
3,dark_oak_fence_gate,57
4,glass,52
5,sandstone,62
6,ladder,6
7,nether_wart,14
8,brown_mushroom,56
9,redstone_lamp,8
10,bedrock,1
11,iron_trapdoor,9
12,trapped_chest,22
13,cobblestone,2
14,birch_fence_gate,34
15,cake,23
16,beacon,20
17,detector_rail,35
18,furnace,52
19,grass,57
20,jungle_stairs,21
21,enchanting_table,31
22,ladder,33
23,jungle_stairs,58
24,prismarine,36
25,red_mushroom,52
26,prismarine,14
27,bookshelf,2
28,nether_brick,48
29,stone_stairs,19
30,furnace,38
31,iron_block,7
32,redstone_ore,29
33,stone_button,2
34,spruce_stairs,44
35,stone_brick_stairs,37
