location,block,quantity
0,iron_door,30
1,jungle_door,64
2,activator_rail,41
3,dropper,6
4,hopper,11
5,stone_pressure_plate,53
6,glowstone,56
7,ender_chest,13
8,hopper,32
9,sticky_piston,41
10,coal_block,28
11,brown_mushroom_block,19
12,beacon,43
13,sandstone_stairs,8
14,red_sandstone,20
15,birch_fence_gate,10
16,sand,24
17,cauldron,46
18,end_portal_frame,15
19,coal_block,53
20,redstone_torch,62
21,cobblestone_wall,51
22,acacia_fence,1
23,birch_door,3
24,rail,62
25,soul_sand,32
26,emerald_block,64
27,sand,3
28,detector_rail,11
29,dispenser,32
30,clay,28
31,iron_bars,16
32,birch_fence,54
33,nether_brick,63
34,command_block,38
35,light_weighted_pressure_plate,5
