location,block,quantity
0,jungle_stairs,12
1,red_mushroom_block,51
2,activator_rail,59
3,end_stone,46
4,nether_brick,15
5,red_mushroom_block,13
6,iron_trapdoor,4
7,stone_pressure_plate,30
8,emerald_block,2
9,cobblestone,16
10,brick_stairs,43
11,brewing_stand,47
12,dark_oak_fence_gate,55
13,enchanting_table,13
14,light_weighted_pressure_plate,13
15,netherrack,46
16,birch_door,53
17,ender_chest,27
18,jungle_door,36
19,command_block,59
20,birch_stairs,7
21,rail,57
22,tripwire_hook,21
23,sponge,22
24,stone_brick_stairs,9
25,brewing_stand,59
26,gold_block,55
27,brick_stairs,17
28,mycelium,4
29,glass,40
30,rail,46
31,coal_block,25
32,light_weighted_pressure_plate,54
33,ladder,53
34,torch,62
35,brewing_stand,29
