location,block,quantity
0,red_sandstone,57
1,light_weighted_pressure_plate,4
2,prismarine,52
3,gold_ore,23
4,glass_pane,19
5,ice,37
6,gravel,16
7,enchanting_table,38
8,nether_brick,26
9,stone_stairs,56
10,mycelium,16
11,dark_oak_stairs,19
12,red_sandstone,5
13,spruce_fence_gate,54
14,redstone_block,10
15,pumpkin,14
16,iron_trapdoor,26
17,netherrack,16
18,emerald_ore,48
19,quartz_block,46
20,cake,11
21,cactus,9
22,torch,38
23,cauldron,38
24,brown_mushroom,17
25,barrier,3
26,barrier,53
27,obsidian,5
28,end_portal_frame,15
29,stone_stairs,16
30,piston,7
31,birch_door,25
32,snow,15
33,snow,56
34,snow,47
35,spruce_fence_gate,23
